Titulo,Sku,Precio original,Precio Descuento,Precio Envio,Stock
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,224.00","$2,749.00",$99.00,57
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,724.00","$1,429.00",Envío gratis,219
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,167.00","$6,409.00",Envío gratis,6
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$1,997.00","$1,399.00",$99.00,609
"Xiaomi Aspiradora Mi Vacuum Cleaner Mini, 120W, 100 ml, Sin bolsa, Blanco",MI VACUUM MINI,$884.00,$579.00,$99.00,178
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$882.00,$599.00,$99.00,300
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,689.00","$1,499.00",$144.00,36
"Fuente de Poder Balam Rush BR-931151 80 PLUS Bronze, ATX, 450W",BR-931151,$743.00,$619.00,$99.00,6
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$217.00,$99.00,¡1
"Laptop Gamer Lenovo Notebook Legion 5 15ACH6H 15.6"" Full HD, AMD Ryzen 5 5600H 3.30GHz,16GB, 512GB SSD, NVIDIA GeForce RTX 3050 Ti, Windows 11 Home 64-bit, Español, Plata",82JW00LTLM,"$31,449.00","$20,579.00",$99.00,31
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$604.00,$436.00,$99.00,¡1
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,353.00",$969.00,$99.00,4
